Cohort,Settlement.Date,Family,Facility,Tank,TaskID,Inventory.Date,Age.Month,Total.Animals,Mean.Size
2019,5/30/2019,OR94 X OR97,MCR,B22,Inventory_3,4/6/2020,10,82,15.967
2019,5/30/2019,OR94 X GR09,MCR,B24,Inventory_3,4/6/2020,10,120,17.72
2019,5/30/2019,OR94 X GR09,MCR,B25,Inventory_3,4/6/2020,10,94,14.407
2019,5/30/2019,OR94 X OR85,MCR,B34,Inventory_3,4/6/2020,10,66,15.587
2019,5/30/2019,OR94 X OR85,MCR,C21,Inventory_3,4/6/2020,10,118,15.913
2019,6/6/2019,OR98 X OR95,MCR,B27,Inventory_3,4/6/2020,10,11,10.591
2019,6/6/2019,OR98 X GR05,MCR,B28,Inventory_3,4/6/2020,10,27,16.347
2019,6/6/2019,OR98 X GR05,MCR,B37,Inventory_3,4/6/2020,10,72,12.48
2019,6/6/2019,OR98 X OR87,MCR,B29,Inventory_3,4/7/2020,10,119,10.78
2019,6/6/2019,GR03 X GR11,MCR,C22,Inventory_3,4/7/2020,10,73,12.247
2019,6/6/2019,GR03 X GR08,MCR,C23,Inventory_3,4/7/2020,10,18,11.867
2019,6/6/2019,OR98 X OR87,MCR,C24,Inventory_3,4/7/2020,10,93,5.68
2019,6/6/2019,OR93 X GR11,MCR,C25,Inventory_3,4/7/2020,10,33,17.687
2019,6/6/2019,OR88 X GR05,MCR,C28,Inventory_3,4/7/2020,10,215,14.287
2019,6/6/2019,OR92 X GR08,MCR,C31,Inventory_3,4/7/2020,10,73,17.84
2019,6/6/2019,OR92 X GR08,MCR,C32,Inventory_3,4/7/2020,10,27,14.233
2019,6/6/2019,GR03 X GR08,MCR,C33,Inventory_3,4/7/2020,10,43,17.613
2019,6/6/2019,GR03 X GR11,MCR,C34,Inventory_3,4/7/2020,10,85,17.6
2019,6/6/2019,OR88 X GR05,MCR,C35,Inventory_3,4/7/2020,10,258,11.427
2019,8/21/2019,OR94 X OR87,MCR,B05,Inventory_2,4/13/2020,7,74,5.12
2019,8/21/2019,OR94 X OR87,MCR,B33,Inventory_2,4/13/2020,7,24,7.913
2019,8/21/2019,OR94 X GR12,MCR,B35,Inventory_2,4/13/2020,7,135,6.92
2019,8/21/2019,OR94 X GR12,MCR,B38,Inventory_2,4/13/2020,7,186,5.02
2019,8/21/2019,OR94 X OR74,MCR,C39,Inventory_2,4/13/2020,7,42,5.857
2019,6/18/2019,GR14 X OR29,MCR,B11,Inventory_3,4/20/2020,10,147,11.717
2019,6/18/2019,GR14 X OR29,MCR,B13,Inventory_3,4/20/2020,10,190,10.05
2019,6/18/2019,GR14 X OR29,MCR,B14,Inventory_3,4/21/2020,10,185,8.05
2019,6/18/2019,GR14 X OR29,MCR,B15,Inventory_3,4/21/2020,10,185,7.35
2019,6/18/2019,GR14 X OR29,MCR,B30,Inventory_3,4/21/2020,10,74,14.817
2019,6/18/2019,GR14 X OR50,MCR,C26,Inventory_3,4/22/2020,10,121,14.647
2019,6/18/2019,GR14 X OR50,MCR,C29,Inventory_3,4/22/2020,10,91,16.113
2019,6/18/2019,GR14 X OR50,MCR,C30,Inventory_3,4/22/2020,10,146,15.32
2019,6/18/2019,GR14 X OR55,MCR,B39,Inventory_3,4/22/2020,10,221,14.66
2019,6/18/2019,GR14 X OR55,MCR,B40,Inventory_3,4/22/2020,10,117,18.78
2019,7/3/2019,OR67 X GR08,MCR,B01,Inventory_3,4/24/2020,9,172,5.65
2019,7/3/2019,OR67 X GR08,MCR,B02,Inventory_3,4/24/2020,9,179,9.86
2019,7/3/2019,OR67 X GR08,MCR,B03,Inventory_3,4/24/2020,9,974,3.66
2019,7/3/2019,OR65 X GR08,MCR,B06,Inventory_3,4/24/2020,9,200,12.287
